16.03.2010 13:00;14.5;;46;0.0;0;20.0;3.1;0;0;
01.08.2016 07:00;27.2;;43;0.0;0;20.0;13.4;0;0;37.3;
02.08.2016 07:00;21.8;;85;0.0;0;20.0;19.2;0;0;34.1;
03.08.2016 07:00;18.5;;68;0.0;0;20.0;12.4;0;0;36.0;
04.08.2016 07:00;20.8;;48;0.0;0;20.0;9.4;0;0;;
06.08.2016 07:00;22.0;;84;1.7;2;20.0;19.1;0;0;30.0;
07.08.2016 07:00;17.5;;78;0.0;0;20.0;13.6;0;0;28.0;
08.08.2016 07:00;17.4;;90;4.0;2;20.0;15.7;0;0;29.0;
09.08.2016 07:00;17.9;;77;0.0;0;20.0;13.8;0;0;;
11.08.2016 07:00;18.0;;85;0.0;0;20.0;15.5;0;0;27.4;
12.08.2016 07:00;17.0;;86;0.0;0;15.0;14.7;0;0;29.0;
13.08.2016 07:00;15.7;;88;0.0;0;20.0;13.7;0;0;31.0;
14.08.2016 07:00;19.5;715.4;87;4.0;4;20.0;17.3;0;0;;
16.08.2016 07:00;22.1;714.4;80;2.0;4;20.0;18.5;0;0;35.0;
17.08.2016 07:00;21.2;712.3;80;4.0;6;20.0;17.6;0;0;32.2;
18.08.2016 07:00;20.6;711.2;62;0.0;0;20.0;13.1;0;0;35.0;
19.08.2016 07:00;21.5;707.7;66;0.0;0;20.0;14.9;0;0;;
21.08.2016 07:00;23.0;714.3;64;4.0;8;20.0;15.8;0;0;33.0;
22.08.2016 07:00;20.9;718.8;90;4.0;2;20.0;19.2;0;0;31.5;
23.08.2016 07:00;16.5;716.1;67;4.0;2;20.0;10.4;0;0;28.4;
24.08.2016 07:00;16.7;715.0;80;0.0;0;20.0;13.3;0;0;;
26.08.2016 07:00;18.1;712.4;73;0.0;0;20.0;13.1;0;0;35.4;
27.08.2016 07:00;19.8;714.4;76;4.0;4;15.0;15.5;0;0;32.1;
28.08.2016 07:00;19.0;716.0;74;0.0;0;20.0;14.3;0;0;36.6;
29.08.2016 07:00;20.4;715.1;51;0.0;0;15.0;9.8;0;0;;
31.08.2016 07:00;20.0;713.9;96;0.0;0;10.0;19.4;0;0;33.8;
01.09.2016 07:00;21.0;716.0;95;0.0;0;20.0;20.1;0;0;29.2;
02.09.2016 07:00;19.4;716.7;96;4.0;2;10.0;18.8;0;0;28.2;
03.09.2016 07:00;17.5;716.0;86;0.0;0;20.0;15.2;0;0;33.5;
04.09.2016 07:00;17.0;715.6;62;0.0;0;15.0;9.6;0;0;33.5;
05.09.2016 07:00;18.7;716.8;62;0.0;0;20.0;11.3;0;0;35.8;
06.09.2016 07:00;21.5;714.2;55;0.0;0;20.0;12.1;0;0;31.6;
07.09.2016 07:00;20.8;713.0;85;0.0;0;20.0;18.2;0;0;29.3;
08.09.2016 07:00;17.0;712.2;90;0.0;0;20.0;15.3;0;0;30.0;
09.09.2016 07:00;16.5;713.1;80;0.0;0;20.0;13.0;0;0;31.5;
10.09.2016 07:00;17.5;712.4;71;0.0;0;20.0;12.2;0;0;31.4;
11.09.2016 07:00;17.9;713.0;78;2.8;4;20.0;14.0;0;0;30.0;
12.09.2016 07:00;16.0;713.4;88;0.0;0;20.0;14.0;0;0;32.6;
13.09.2016 07:00;20.5;711.3;66;2.8;4;20.0;13.8;0;0;35.0;
14.09.2016 07:00;20.6;711.2;86;3.7;2;20.0;18.1;0.5;0;29.0;
15.09.2016 07:00;18.5;713.2;90;0.0;0;10.0;16.9;6.0;0;24.5;
16.09.2016 07:00;17.0;714.5;84;2.6;6;20.0;14.3;0.6;0;24.5;
17.09.2016 07:00;14.0;715.5;93;2.8;4;20.0;12.9;0;0;25.8;
18.09.2016 07:00;13.5;714.1;84;0.0;0;20.0;10.8;0;0;26.5;
19.09.2016 07:00;16.5;714.5;85;2.0;6;20.0;14.0;0;0;24.2;
20.09.2016 07:00;14.9;713.1;74;0.0;0;20.0;10.3;0;0;21.5;
21.09.2016 07:00;13.9;714.3;85;0.0;0;20.0;11.4;0;0;26.5;
22.09.2016 07:00;13.8;714.6;70;0.0;0;20.0;8.4;0;0;31.4;
23.09.2016 07:00;19.0;716.6;81;0.0;0;15.0;15.7;3.0;0;27.0;
24.09.2016 07:00;16.1;716.5;94;0.0;0;20.0;15.1;0;0;21.0;
25.09.2016 07:00;13.4;715.7;92;0.0;0;15.0;12.1;32.0;0;24.6;
26.09.2016 07:00;13.4;;97;0.0;0;10.0;12.9;0;0;24.2;
27.09.2016 07:00;14.1;;97;0.0;0;10.0;13.6;0;0;24.8;
28.09.2016 07:00;16.4;;90;0.0;0;20.0;14.7;0.3;0;23.6;;
30.09.2016 07:00;16.2;;81;0.0;0;20.0;12.9;0;0;22.2;
01.10.2016 07:00;17.8;;84;0.0;0;10.0;15.1;4.0;0;26.8;
02.10.2016 07:00;14.6;;94;0.0;0;20.0;13.7;10.0;0;
03.10.2016 07:00;15.1;;94;0.0;0;15.0;14.1;0;0;29.5;
04.10.2016 07:00;15.3;;91;3.7;2;20.0;13.9;0;0;28.8;
05.10.2016 07:00;18.5;;95;0.0;0;7.0;17.7;0;0;24.0;
06.10.2016 07:00;17.8;;92;1.5;4;20.0;16.5;0.1;0;27.9;
07.10.2016 07:00;15.2;;89;0.0;0;20.0;13.4;0.5;0;28.8;
08.10.2016 07:00;14.8;;83;0.0;0;20.0;12.0;0;0;28.5;
09.10.2016 07:00;19.0;;72;7.0;6;15.0;13.9;0.6;0;27.5;
10.10.2016 07:00;17.0;;81;6.0;12;15.0;13.6;0.2;0;21.0;
11.10.2016 07:00;11.4;;89;0.0;0;20.0;9.6;0;0;26.1;
12.10.2016 07:00;12.0;;93;0.0;0;10.0;10.9;0;0;27.0;
13.10.2016 07:00;17.9;;62;7.0;6;10.0;10.5;0;0;29.0;
14.10.2016 07:00;12.8;;75;0.0;0;20.0;8.5;0;0;22.0;
15.10.2016 07:00;10.1;;84;4.0;2;20.0;7.5;0;0;24.2;
16.10.2016 07:00;11.6;;88;0.0;0;20.0;9.6;0;0;28.0;
17.10.2016 07:00;12.5;;68;0.0;0;20.0;6.8;0;0;29.1;
18.10.2016 07:00;15.4;716.9;86;2.8;4;20.0;13.0;0;0;23.5;
19.10.2016 07:00;17.1;716.6;96;0.0;0;20.0;16.4;0;0;24.1;
20.10.2016 07:00;16.5;712.3;97;0.0;0;20.0;16.0;0.3;0;23.7;
21.10.2016 07:00;16.1;711.3;93;0.0;0;15.0;14.9;2.0;0;23.6;
22.10.2016 07:00;15.0;710.8;96;7.0;4;20.0;14.3;2.0;0;20.8;
23.10.2016 07:00;15.1;710.4;97;0.0;0;15.0;14.6;10.0;0;28.6;
