16.03.2010 13:00;10.8;683.8;45;2.6;2;10;20.0;0;0;
17.02.2014 07:00;17.8;;44;2.6;4;0;10.0;;0;
03.03.2014 07:00;26.0;;54;0.0;0;0;10.0;;0;
28.04.2014 07:00;28.6;;58;0.0;0;0;10.0;;0;
01.05.2014 07:00;30.4;;29;0.0;0;0;10.0;;0;
01.08.2016 07:00;26.3;682.9;32;0.0;0;60;20.0;0;0;33.4;
02.08.2016 07:00;22.0;682.0;51;0.0;0;0;20.0;0.8;0;31.3;
03.08.2016 07:00;21.9;681.5;44;0.0;0;0;20.0;0;0;30.6;
04.08.2016 07:00;21.4;680.8;44;0.0;0;0;20.0;0;0;;
06.08.2016 07:00;18.7;682.7;81;2.0;8;60;20.0;0;0;26.4;
07.08.2016 07:00;16.1;683.2;61;2.6;6;40;20.0;0;0;24.9;
08.08.2016 07:00;17.2;682.8;43;0.0;0;0;20.0;0;0;26.8;
09.08.2016 07:00;19.8;681.8;57;0.0;0;0;20.0;0;0;;
11.08.2016 07:00;16.0;682.1;86;4.5;4;90;20.0;0;0;18.8;
12.08.2016 07:00;16.4;684.1;71;0.0;0;60;20.0;0.9;0;24.2;
13.08.2016 07:00;16.3;683.8;72;0.0;0;25;20.0;0;0;26.3;
14.08.2016 07:00;18.7;683.0;57;0.0;0;0;20.0;0;0;;
16.08.2016 07:00;20.6;680.9;56;7.0;3;0;20.0;0;0;33.3;
17.08.2016 07:00;23.4;679.0;54;7.0;3;75;20.0;0;0;31.1;
18.08.2016 07:00;19.0;678.4;57;3.8;3;25;20.0;0;0;30.8;
19.08.2016 07:00;22.2;679.0;38;0.0;0;0;20.0;0;0;;
21.08.2016 07:00;23.6;681.1;41;5.0;2;40;20.0;0;0;32.2;
22.08.2016 07:00;17.2;683.8;79;1.7;3;0;20.0;0;0;27.9;
23.08.2016 07:00;14.8;682.6;67;0.0;0;0;20.0;0;0;26.1;
24.08.2016 07:00;14.6;681.7;72;0.0;0;0;20.0;0;0;;
26.08.2016 07:00;19.2;680.4;55;3.7;1;0;20.0;0;0;30.1;
27.08.2016 07:00;20.3;681.6;54;7.0;3;0;20.0;0;0;30.6;
28.08.2016 07:00;19.5;682.8;61;0.0;0;0;15.0;0;0;32.1;
29.08.2016 07:00;19.0;682.8;52;3.8;3;0;20.0;0;0;;
31.08.2016 07:00;22.2;681.1;55;3.0;3;40;20.0;0;0;32.9;
01.09.2016 07:00;19.9;682.5;80;0.0;0;60;20.0;22.0;0;28.3;
02.09.2016 07:00;18.4;682.9;85;0.0;0;40;20.0;0.7;0;29.0;
03.09.2016 07:00;16.8;682.9;77;3.0;1;0;20.0;0;0;27.6;
04.09.2016 07:00;17.9;683.5;64;3.0;3;50;20.0;0;0;28.5;
05.09.2016 07:00;18.5;683.8;58;8.0;4;50;20.0;0;0;30.6;
06.09.2016 07:00;18.5;680.8;52;8.0;4;0;20.0;0;0;29.0;
07.09.2016 07:00;18.4;678.7;78;2.0;7;90;20.0;0;0;23.3;
08.09.2016 07:00;16.1;678.7;81;2.0;3;10;20.0;0;0;25.1;
09.09.2016 07:00;14.2;680.0;85;0.0;0;0;20.0;0;0;25.2;
10.09.2016 07:00;16.5;679.1;62;1.7;1;25;20.0;0;0;30.4;
11.09.2016 07:00;17.2;679.4;80;4.5;3;60;20.0;0;0;25.9;
12.09.2016 07:00;15.5;680.5;81;3.8;3;10;12.0;0;0;27.6;
13.09.2016 07:00;20.3;679.3;59;3.7;4;75;20.0;0;0;29.3;
14.09.2016 07:00;22.8;679.6;51;2.0;9;90;10.0;0.4;0;27.1;
15.09.2016 07:00;17.8;680.4;88;7.0;4;75;12.0;2.0;0;27.6;
16.09.2016 07:00;18.0;680.5;89;6.0;3;90;20.0;0;0;25.1;
17.09.2016 07:00;16.2;681.4;93;1.5;4;100;8.0;0;0;25.3;
18.09.2016 07:00;14.2;679.5;90;0.0;0;25;8.0;0;0;24.2;
19.09.2016 07:00;15.8;680.0;74;2.6;6;40;20.0;0;0;21.2;
20.09.2016 07:00;13.3;679.5;73;3.0;3;75;20.0;0;0;20.9;
21.09.2016 07:00;13.4;680.0;83;0.0;0;75;20.0;0;0;23.7;
22.09.2016 07:00;13.3;681.8;70;3.0;3;25;20.0;0;0;26.1;
23.09.2016 07:00;17.1;683.8;75;2.0;8;100;8.0;0;0;17.2;
24.09.2016 07:00;13.6;683.5;93;3.0;3;25;20.0;8.0;0;21.8;
25.09.2016 07:00;13.6;680.6;72;2.6;4;25;20.0;1.0;0;20.9;
26.09.2016 07:00;13.1;681.7;94;8.0;1;75;12.0;0;0;20.3;
27.09.2016 07:00;13.0;682.3;89;0.0;0;75;8.0;0;0;19.6;
28.09.2016 07:00;10.6;683.3;92;3.0;3;40;20.0;0.3;0;19.9;;
30.09.2016 07:00;13.7;681.2;94;6.0;5;40;20.0;0.2;0;21.3;
01.10.2016 07:00;17.5;679.6;81;3.8;4;75;15.0;0.2;0;25.3;
